Index,Manufacturer,Name,Edge Type,Thickness (mm),Width (mm),Length (mm),Weight (kg/sqm),NRC,alpha w,Fire Rating,STC,Rw,IIC
317,Siniat,Mastashield,,10,1350,2400,6.3,,,,,,
318,Siniat,Mastashield,,10,1350,2700,6.3,,,,,,
319,Siniat,Mastashield,,10,1350,3000,6.3,,,,,,
320,Siniat,Mastashield,,10,1350,3600,6.3,,,,,,
321,Siniat,Mastashield,,10,1350,4200,6.3,,,,,,
322,Siniat,Mastashield,,10,1350,4800,6.3,,,,,,
323,Siniat,Mastashield,,10,1350,6000,6.3,,,,,,
324,Siniat,Mastashield,,13,1200,2400,8.4,,,,,,
325,Siniat,Mastashield,,13,1200,2700,8.4,,,,,,
326,Siniat,Mastashield,,13,1200,3000,8.4,,,,,,
327,Siniat,Mastashield,,13,1200,3600,8.4,,,,,,
328,Siniat,Mastashield,,13,1200,4200,8.4,,,,,,
329,Siniat,Mastashield,,13,1200,4800,8.4,,,,,,
330,Siniat,Mastashield,,13,1200,6000,8.4,,,,,,
331,Siniat,Mastashield,,13,1200,6000,8.4,,,,,,
332,Siniat,Mastashield,,13,1350,3000,8.4,,,,,,
333,Siniat,Mastashield,,13,1350,3600,8.4,,,,,,
334,Siniat,Mastashield,,13,1350,4800,8.4,,,,,,
335,Siniat,Spanshield,,10,900,3600,6.8,,,,,,
336,Siniat,Spanshield,,10,900,4800,6.8,,,,,,
337,Siniat,Spanshield,,10,900,6000,6.8,,,,,,
338,Siniat,Spanshield,,10,1200,2400,6.8,,,,,,
339,Siniat,Spanshield,,10,1200,2700,6.8,,,,,,
340,Siniat,Spanshield,,10,1200,3000,6.8,,,,,,
341,Siniat,Spanshield,,10,1200,3600,6.8,,,,,,
342,Siniat,Spanshield,,10,1200,4200,6.8,,,,,,
343,Siniat,Spanshield,,10,1200,4800,6.8,,,,,,
344,Siniat,Spanshield,,10,1200,6000,6.8,,,,,,
345,Siniat,Spanshield,,10,1350,2400,6.8,,,,,,
346,Siniat,Spanshield,,10,1350,3000,6.8,,,,,,
347,Siniat,Spanshield,,10,1350,3600,6.8,,,,,,
348,Siniat,Spanshield,,10,1350,4200,6.8,,,,,,
349,Siniat,Spanshield,,10,1350,4800,6.8,,,,,,
350,Siniat,Spanshield,,10,1350,6000,6.8,,,,,,
351,Siniat,watershield,,10,1200,2400,7.5,,,,,,
352,Siniat,watershield,,10,1200,2700,7.5,,,,,,
353,Siniat,watershield,,10,1200,3000,7.5,,,,,,
354,Siniat,watershield,,10,1200,3600,7.5,,,,,,
355,Siniat,watershield,,10,1200,4200,7.5,,,,,,
356,Siniat,watershield,,10,1200,6000,7.5,,,,,,
357,Siniat,watershield,,10,1350,3000,7.5,,,,,,
